ronda	n	id	nombre_es	pais_es	nombre_en	tema	jefe
1	1	paris	París	Francia	Paris	Capitales del mundo (fáciles)	0
1	2	london	Londres	Reino Unido	London	Capitales del mundo (fáciles)	0
1	3	rome	Roma	Italia	Rome	Capitales del mundo (fáciles)	0
1	4	madrid	Madrid	España	Madrid	Capitales del mundo (fáciles)	0
1	5	berlin	Berlín	Alemania	Berlin	Capitales del mundo (fáciles)	0
1	6	washington	Washington D. C.	Estados Unidos	Washington	Capitales del mundo (fáciles)	0
1	7	moscow	Moscú	Rusia	Moscow	Capitales del mundo (fáciles)	0
1	8	beijing	Pekín	República Popular China	Beijing	Capitales del mundo (fáciles)	0
1	9	tokyo	Tokio	Japón	Tokyo	Capitales del mundo (fáciles)	0
1	10	cairo	El Cairo	Egipto	Cairo	Capitales del mundo (fáciles)	0
1	11	ottawa	Ottawa	Canadá	Ottawa	Capitales del mundo (fáciles)	0
1	12	canberra	Camberra	Australia	Canberra	Capitales del mundo (fáciles)	0
1	13	brasilia	Brasilia	Brasil	Brasília	Capitales del mundo (fáciles)	0
1	14	buenos-aires	Buenos Aires	Argentina	Buenos Aires	Capitales del mundo (fáciles)	0
1	15	mexico-city	Ciudad de México	México	Mexico City	Capitales del mundo (fáciles)	0
1	16	new-delhi	Nueva Delhi	India	New Delhi	Capitales del mundo (fáciles)	0
1	17	lisbon	Lisboa	Portugal	Lisbon	Capitales del mundo (fáciles)	0
1	18	athens	Atenas	Grecia	Athens	Capitales del mundo (fáciles)	0
1	19	vienna	Viena	Austria	Vienna	Capitales del mundo (fáciles)	0
1	20	amsterdam	Ámsterdam	Países Bajos	Amsterdam	Capitales del mundo (fáciles)	0
1	21	brussels	Región de Bruselas-Capital	Bélgica	Brussels	Capitales del mundo (fáciles)	0
1	22	bern	Berna	Suiza	Bern	Capitales del mundo (fáciles)	0
1	23	stockholm	Estocolmo	Suecia	Stockholm	Capitales del mundo (fáciles)	0
1	24	oslo	Oslo	Noruega	Oslo	Capitales del mundo (fáciles)	0
1	25	copenhagen	Copenhague	Dinamarca	Copenhagen	Capitales del mundo (fáciles)	0
1	26	helsinki	Helsinki	Finlandia	Helsinki	Capitales del mundo (fáciles)	0
1	27	dublin	Dublín	Irlanda	Dublin	Capitales del mundo (fáciles)	0
1	28	warsaw	Varsovia	Polonia	Warsaw	Capitales del mundo (fáciles)	0
1	29	prague	Praga	República Checa	Prague	Capitales del mundo (fáciles)	0
1	30	budapest	Budapest	Hungría	Budapest	Capitales del mundo (fáciles)	0
1	31	bucharest	Bucarest	Rumania	Bucharest	Capitales del mundo (fáciles)	0
1	32	sofia	Sofía	Bulgaria	Sofia	Capitales del mundo (fáciles)	0
1	33	belgrade	Belgrado	Serbia	Belgrade	Capitales del mundo (fáciles)	0
1	34	zagreb	Zagreb	Croacia	Zagreb	Capitales del mundo (fáciles)	0
1	35	ankara	Ankara	Turquía	Ankara	Capitales del mundo (fáciles)	0
1	36	tehran	Teherán	Irán	Tehran	Capitales del mundo (fáciles)	0
1	37	baghdad	Bagdad	Irak	Baghdad	Capitales del mundo (fáciles)	0
1	38	riyadh	Riad	Arabia Saudí	Riyadh	Capitales del mundo (fáciles)	0
1	39	jerusalem	Jerusalén	Israel	Jerusalem	Capitales del mundo (fáciles)	0
1	40	kabul	Kabul	Afganistán	Kabul	Capitales del mundo (fáciles)	0
1	41	islamabad	Islamabad	Pakistán	Islamabad	Capitales del mundo (fáciles)	0
1	42	seoul	Seúl	Corea del Sur	Seoul	Capitales del mundo (fáciles)	0
1	43	bangkok	Bangkok	Tailandia	Bangkok	Capitales del mundo (fáciles)	0
1	44	hanoi	Hanói	Vietnam	Hanoi	Capitales del mundo (fáciles)	0
1	45	jakarta	Yakarta	Indonesia	Jakarta	Capitales del mundo (fáciles)	0
1	46	manila	Manila	Filipinas	Manila	Capitales del mundo (fáciles)	0
1	47	kuala-lumpur	Kuala Lumpur	Malasia	Kuala Lumpur	Capitales del mundo (fáciles)	0
1	48	wellington	Wellington	Nueva Zelanda	Wellington	Capitales del mundo (fáciles)	0
1	49	lima	Lima	Perú	Lima	Capitales del mundo (fáciles)	0
1	50	bogota	Bogotá	Colombia	Bogotá	Capitales del mundo (fáciles)	0
1	51	caracas	Caracas	Venezuela	Caracas	Capitales del mundo (fáciles)	0
1	52	santiago	Santiago de Chile	Chile	Santiago	Capitales del mundo (fáciles)	0
1	53	havana	La Habana	Cuba	Havana	Capitales del mundo (fáciles)	0
1	54	nairobi	Nairobi	Kenia	Nairobi	Capitales del mundo (fáciles)	0
1	55	pretoria	Pretoria	Sudáfrica	Pretoria	Capitales del mundo (fáciles)	0
1	56	addis-ababa	Adís Abeba	Etiopía	Addis Ababa	Capitales del mundo (fáciles)	0
1	57	rabat	Rabat	Marruecos	Rabat	Capitales del mundo (fáciles)	0
1	58	algiers	Argel	Argelia	Algiers	Capitales del mundo (fáciles)	0
1	59	tunis	Túnez	Túnez	Tunis	Capitales del mundo (fáciles)	0
1	60	kyiv	Kiev	Ucrania	Kyiv	Capitales del mundo (fáciles)	0
1	61	minsk	Minsk	Bielorrusia	Minsk	Capitales del mundo (fáciles)	0
1	62	pyongyang	Pionyang	Corea del Norte	Pyongyang	Capitales del mundo (fáciles)	0
1	63	ulaanbaatar	Ulán Bator	Mongolia	Ulaanbaatar	Capitales del mundo (fáciles)	0
1	64	kathmandu	Katmandú	Nepal	Kathmandu	Capitales del mundo (fáciles)	0
1	65	dhaka	Daca	Bangladés	Dhaka	Capitales del mundo (fáciles)	0
1	66	colombo	Colombo	Sri Lanka	Colombo	Capitales del mundo (fáciles)	0
1	67	singapore	Singapur	Singapur	Singapore	Capitales del mundo (fáciles)	0
1	68	quito	Quito	Ecuador	Quito	Capitales del mundo (fáciles)	0
1	69	la-paz	La Paz	Bolivia	La Paz	Capitales del mundo (fáciles)	0
1	70	montevideo	Montevideo	Uruguay	Montevideo	Capitales del mundo (fáciles)	0
1	71	asuncion	Asunción	Paraguay	Asunción	Capitales del mundo (fáciles)	0
1	72	panama-city	Ciudad de Panamá	Panamá	Panama City	Capitales del mundo (fáciles)	0
1	73	san-jose	San José	Costa Rica	San José	Capitales del mundo (fáciles)	0
1	74	kingston-jamaica	Kingston	Jamaica	Kingston	Capitales del mundo (fáciles)	0
1	75	tripoli	Trípoli	Libia	Tripoli	Capitales del mundo (fáciles)	0
1	76	khartoum	Jartum	Sudán	Khartoum	Capitales del mundo (fáciles)	0
1	77	accra	Acra	Ghana	Accra	Capitales del mundo (fáciles)	0
1	78	abuja	Abuya	Nigeria	Abuja	Capitales del mundo (fáciles)	0
1	79	dakar	Dakar	Senegal	Dakar	Capitales del mundo (fáciles)	0
1	80	luanda	Luanda	Angola	Luanda	Capitales del mundo (fáciles)	0
2	1	eiffel-tower	Torre Eiffel	Francia	Eiffel Tower	Monumentos y lugares famosos	0
2	2	statue-of-liberty	Estatua de la Libertad	Estados Unidos	Statue of Liberty	Monumentos y lugares famosos	0
2	3	colosseum	Coliseo	Italia	Colosseum	Monumentos y lugares famosos	0
2	4	big-ben	Big Ben	Reino Unido	Big Ben	Monumentos y lugares famosos	0
2	5	taj-mahal	Taj Mahal	India	Taj Mahal	Monumentos y lugares famosos	0
2	6	great-wall-of-china	Gran Muralla china	República Popular China	Great Wall of China	Monumentos y lugares famosos	0
2	7	giza-pyramid-complex	Necrópolis de Guiza	Egipto	Giza pyramid complex	Monumentos y lugares famosos	0
2	8	machu-picchu	Machu Picchu	Perú	Machu Picchu	Monumentos y lugares famosos	0
2	9	christ-the-redeemer	Cristo Redentor	Brasil	Christ the Redeemer	Monumentos y lugares famosos	0
2	10	sydney-opera-house	Ópera de Sídney	Australia	Sydney Opera House	Monumentos y lugares famosos	0
